scenario,variant,seuil,t_star,AUC,AP,F1,Precision,Recall,Brier
S1_spatial,logreg,0.5,,0.8096210840185019,0.20217914912112406,0.017891754882958102,0.3592814371257485,0.009174311926605505,0.05128118440196085
S1_spatial,logreg,t*,0.13791045764967477,0.8096210840185019,0.20217914912112406,0.2835611454706096,0.21478623730414928,0.41712538226299695,0.05128118440196085
S1_spatial,logreg_bal,0.5,,0.8113677451513891,0.199710811193358,0.24699768766006117,0.14748062590932035,0.7594801223241591,0.18349492519844218
S1_spatial,logreg_bal,t*,0.7226440172143067,0.8113677451513891,0.199710811193358,0.285407123492568,0.20553386293254342,0.46681957186544343,0.18349492519844218
S1_spatial,logreg_smote,0.5,,0.8051725146292061,0.194752422592465,0.25264184685417007,0.15352697095435686,0.7128440366972477,0.16755146747230337
S1_spatial,logreg_smote,t*,0.7402215884416958,0.8051725146292061,0.194752422592465,0.2785858371377004,0.2133680273215157,0.40122324159021405,0.16755146747230337
S1_spatial,rf_bal,0.5,,0.8137545122857934,0.20549224661254928,0.24807267370488584,0.14776250365603977,0.7724770642201835,0.174951171467707
S1_spatial,rf_bal,t*,0.6755576088274744,0.8137545122857934,0.20549224661254928,0.28522483940042825,0.20704663212435234,0.45825688073394494,0.174951171467707
S1_spatial,lgbm,0.5,,0.8308626118210787,0.2506348568112612,0.04242781378903948,0.5806451612903226,0.022018348623853212,0.04957423531476254
S1_spatial,lgbm,t*,0.16029441101204864,0.8308626118210787,0.2506348568112612,0.3121967177362194,0.24260655876620627,0.4377675840978593,0.04957423531476254
S1_spatial,xgb,0.5,,0.8294822469423684,0.24642386661980467,0.0468384074941452,0.547945205479452,0.024464831804281346,0.04972855433282225
S1_spatial,xgb,t*,0.145967036485672,0.8294822469423684,0.24642386661980467,0.30671442264036725,0.2288639614544907,0.4648318042813456,0.04972855433282225
